menuItem,url
"Работа в България",https://www.alo.bg/obiavi/rabota/rabota-v-stranata-predlaga/
"Работа в чужбина",https://www.alo.bg/obiavi/rabota/rabota-v-chujbina/
"Търсят работа",https://www.alo.bg/obiavi/rabota/tarsiat-rabota/
"Работа без шеф и работно време",https://www.alo.bg/obiavi/rabota/rabota-bez-shef-i-rabotno-vreme/
"Каталожна търговия",https://www.alo.bg/obiavi/rabota/katalojna-targovia/
