MenuName,urlDebth,unnamed1,unnamed2,unnamed3,unnamed4,unnamed5,unnamed6,unnamed7,unnamed8,unnamed9,unnamed10,unnamed11,unnamed12,unnamed13,unnamed14,unnamed15,unnamed16,unnamed17,unnamed18
"Работа в България",https://www.alo.bg/obiavi/rabota/rabota-v-stranata-predlaga/,"  Благоевград (476)","  Варна (345)","  Габрово (47)","  Добрич (145)","  Кърджали (118)","  Ловеч (77)","  Монтана (104)","  Пазарджик (294)","  Разград (67)","  Силистра (64)","  Търговище (63)","  Хасково (170)","  Шумен (90)","  Ямбол (188)","(2)Германия (DE)","(1)Италия (IT)","(1)Румъния (RO)","(1)Турция (TR)"
"Работа в чужбина",https://www.alo.bg/obiavi/rabota/rabota-v-chujbina/
"Търсят работа",https://www.alo.bg/obiavi/rabota/tarsiat-rabota/,"  Благоевград (7)","  Варна (40)","  Кърджали (2)","  Ловеч (1)","  Монтана (1)","  Пазарджик (6)","  Русе (5)","  Силистра (1)","  Търговище (3)","  Хасково (1)","  Шумен (4)","  Ямбол (8)","(1)Белгия (BE)","(2)Германия (DE)"
"Работа без шеф и работно време",https://www.alo.bg/obiavi/rabota/rabota-bez-shef-i-rabotno-vreme/
"Каталожна търговия",https://www.alo.bg/obiavi/rabota/katalojna-targovia/
Апартаменти,https://www.alo.bg/obiavi/imoti-prodajbi/apartamenti-stai/,"  Благоевград (2293)","  Варна (8144)","  Габрово (72)","  Добрич (890)","  Кърджали (871)","  Ловеч (15)","  Монтана (6)","  Пазарджик (313)","  Разград (109)","  Силистра (31)","  Търговище (462)","  Хасково (2052)","  Шумен (1157)","  Ямбол (1346)","(9)Албания (AL)","(1)Гърнзи (GG)","(71)Гърция (GR)","(21)Испания (ES)","(13)Италия (IT)","(2)Кабо Верде (CV)","(20)Кипър (CY)","(8)Обединени арабски емирства (AE)","(1)Полша (PL)","(12)Тайланд (TH)","(6)Хърватска (HR)","(1)Черна гора (ME)"
"Къщи, Вили",https://www.alo.bg/obiavi/imoti-prodajbi/kashti-vili/,"  Благоевград (525)","  Варна (2167)","  Габрово (595)","  Добрич (1267)","  Кърджали (235)","  Ловеч (199)","  Монтана (28)","  Пазарджик (288)","  Разград (134)","  Силистра (46)","  Търговище (195)","  Хасково (1540)","  Шумен (657)","  Ямбол (1604)","(1)Австрия (AT)","(1)Германия (DE)","(182)Гърция (GR)","(18)Испания (ES)","(2)Италия (IT)","(1)Кипър (CY)","(1)Обединени арабски емирства (AE)","(2)Северна Македония (MK)","(1)Сърбия (RS)","(4)Тайланд (TH)","(2)Турция (TR)","(3)Хърватска (HR)"
"Магазини, Офиси, Кабинети, Салони",https://www.alo.bg/obiavi/imoti-prodajbi/magazini-ofisi/,"  Благоевград (267)","  Варна (544)","  Габрово (18)","  Добрич (54)","  Кърджали (179)","  Ловеч (4)","  Монтана (2)","  Пазарджик (74)","  Разград (10)","  Силистра (10)","  Търговище (49)","  Хасково (346)","  Шумен (112)","  Ямбол (183)","(2)Гърция (GR)","(3)Испания (ES)"
"Парцели за застрояване, Инвестиционни проекти",https://www.alo.bg/obiavi/imoti-prodajbi/parceli-za-zastroiavane-investicionni-proekti/,"  Благоевград (765)","  Варна (2924)","  Габрово (209)","  Добрич (745)","  Кърджали (706)","  Ловеч (158)","  Монтана (14)","  Пазарджик (301)","  Разград (45)","  Силистра (17)","  Търговище (113)","  Хасково (1389)","  Шумен (412)","  Ямбол (738)","(1)Австрия (AT)","(1)Гренада (GD)","(65)Гърция (GR)","(2)Испания (ES)","(1)Кипър (CY)","(1)Тайланд (TH)","(5)Турция (TR)"
"Земеделска земя, градини, лозя, гора",https://www.alo.bg/obiavi/imoti-prodajbi/zemedelska-zemia-gradini-lozia-gora/,"  Благоевград (629)","  Варна (143)","  Габрово (28)","  Добрич (131)","  Кърджали (214)","  Ловеч (35)","  Монтана (12)","  Пазарджик (87)","  Разград (15)","  Силистра (8)","  Търговище (20)","  Хасково (177)","  Шумен (23)","  Ямбол (111)","(1)Гърнзи (GG)","(16)Гърция (GR)","(1)Испания (ES)"
"Складове, промишлени и стопански имоти",https://www.alo.bg/obiavi/imoti-prodajbi/promishleni-pomeshtenia-skladove/,"  Благоевград (71)","  Варна (68)","  Габрово (31)","  Добрич (55)","  Кърджали (63)","  Ловеч (12)","  Монтана (3)","  Пазарджик (64)","  Разград (21)","  Силистра (5)","  Търговище (19)","  Хасково (185)","  Шумен (43)","  Ямбол (118)","(3)Гърция (GR)"
